publication_number,application_number,country_code,kind_code,family_id,publication_date,year,title,abstract,assignee,organization,inventors,cpc_codes,url,source_type,bigquery_relevance_score
CN-108560082-A,CN-201810440827-A,CN,A,63538273,20180921,2018,A kind of preparation method of high intensity coal measures isotropic pitch base carbon fibre,"The invention discloses a kind of production methods of high intensity isotropic pitch base carbon fibre：Using ashless coal as pitch precursor, its fugitive constituent component is removed using the method for thin film evaporation, control asphalt softening point obtains spinning asphalt, carbon fiber then is prepared through melt spinning, pre-oxidation, carbonization technique at 180~260 DEG C；By coal and 1 methyl naphthalene in mass ratio 1:2~1:10 ratios mix, and are 350~410 DEG C in temperature, and pressure is to carry out solvent extraction under 1~5MPa to react 1~5h, then obtain ashless coal after separation of solid and liquid, thermal air pressure filtration, solvent recovery.Most its carbon fiber is prepared through techniques such as melt spinning, pre-oxidation, carbonizations afterwards.The present invention produces the universal pitch-based carbon fiber with excellent performance index, its tensile strength is up to 1500MPa using coal as raw material, has larger market prospects and economic benefit.",湖南大学,UNIV HUNAN,YANG JIANXIAO; ZHANG XIAXIANG; WU WEI; SHI KUI,D01F9/15,https://patents.google.com/patent/CN108560082A/en,patent,19
CN-108611113-A,CN-201810372899-A,CN,A,63660773,20181002,2018,A kind of method that deep oxidation-catalyzed polycondensation prepares mesophase pitch and carbon fiber,"The present invention provides a kind of methods that deep oxidation-catalyzed polycondensation prepares mesophase pitch and carbon fiber.This method is cross-linking modified to raw material progress deep oxidation using air method is blown using naphthene base crude or intermediate base crude as raw material, obtains modified feedstock；With ZrO 2 For catalyst, modified feedstock and catalyst are mixed with mesophase pitch.By prepared mesophase pitch melt spinning, high modulus carbon fiber is prepared.This method technological process is simple, and used catalyst is corrosion-free to consersion unit, and reaction carries out at a lower temperature, not harsh to equipment requirement；Mesophase pitch softening point obtained is suitable, can meet the requirement of spinnability and pre-oxidation temperature simultaneously：220~260 DEG C, interphase content&gt;98%, there is the streamlined optical texture of big wide area, the precursor of spinning to have excellent mechanical property after pre-oxidation, charing, graphitization processing.",中国石油大学(华东),UNIV CHINA PETROLEUM EAST CHINA,LIU DONG; YIN CHANGLONG; FU YU'E; YU RAN; LOU BIN; WU KE; WANG XIANGYU; WEN FUSHAN; SHI NAN; CHEN KUN; Chen qingtai; LI MIN; WAN XIN,D01F9/155; C10C3/04,https://patents.google.com/patent/CN108611113A/en,patent,19
CN-108708000-A,CN-201810445237-A,CN,A,63868989,20181026,2018,A kind of preparation method of high antioxidant borosilicate doping carbon fiber,"The present invention relates to a kind of production methods of special fibre, and the preparation method of carbon fiber is adulterated more particularly, to a kind of high antioxidant borosilicate.Include the following steps：Step 1：It takes polyacrylonitrile powder to be dissolved in organic solvent, polyborosiloxane is then added into polyacrylonitrile solution, polyborosiloxane modified polyacrylonitrile solution is obtained after being uniformly dispersed；Step 2：The polyborosiloxane modified polyacrylonitrile solution obtained obtains polyborosiloxane modified polyacrylonitrile as-spun fibre as spinning solution, through dry spinning；Step 3：By as-spun fibre be placed in pre-oxidation furnace, low-temperature carbonization furnace and high temperature carbonization furnace pre-oxidized respectively, low-temperature carbonization and high temperature cabonization, obtain high antioxidant borosilicate doping carbon fiber.The present invention has the advantages that：（1）Reaction raw materials safety；（2）Byproduct of reaction is free from environmental pollution；（3）Reaction step is simple；（4）The fiber of gained has oxidation resistent susceptibility.",浙江梵彼斯特轻纺发展有限公司,ZHEJIANG FABI SECRET TEXTILE DEV CO LTD,QIAN ANHUA,D01F9/22; C08G77/56; D01F1/10,https://patents.google.com/patent/CN108708000A/en,patent,19
CN-108728147-A,CN-201810382792-A,CN,A,63939857,20181102,2018,A kind of method that heavy oil fast pyrogenation pretreatment-catalyzed polycondensation prepares mesophase pitch and carbon fiber,"The present invention provides a kind of methods that heavy oil fast pyrogenation pretreatment-catalyzed polycondensation group technology prepares mesophase pitch and carbon fiber.Raw material is obtained modified feedstock by this method by short time high temperature pyrolysis pretreatment；Modified feedstock and catalyst are mixed with mesophase pitch.Wherein feedstock oil is FCC slurry heavy distillat, naphthenic base vacuum distillate or naphthenic base hydrogenation tail oil.Obtained mesophase pitch is prepared into high modulus and strength carbon fiber.This method technological process is simple, and used catalyst is corrosion-free to equipment, not harsh to equipment requirement；Mesophase pitch softening point obtained is low：230-250 DEG C, interphase content reaches 98% or more, has the streamlined optically anisotropic structures of big wide area, spinning property is good, and high-modulus and the asphalt base carbon fiber of high intensity can be obtained in the precursor of spinning after pre-oxidation, charing, graphitization processing.",中国石油大学(华东),UNIV CHINA PETROLEUM EAST CHINA,LIU DONG; WEN FUSHAN; FU YU'E; LOU BIN; YU RAN; WANG XIANGYU; WU KE; YIN CHANGLONG; SHI NAN; GUO AIJUN; LI MIN; Chen qingtai; LI JUN; GONG XIN; ZHANG ZHICHEN,C10C3/002; D01F9/22; C10C3/026,https://patents.google.com/patent/CN108728147A/en,patent,19
CN-108840974-A,CN-201810657311-A,CN,A,64203398,20181120,2018,A kind of preparation method of carbon fibre precursor ternary polyacrylonitrile copolymer,"The present invention relates to a kind of carbon fibre precursor preparation methods of ternary polyacrylonitrile copolymer, under the conditions of nitrogen protection, the first monomers acrylonitrile, second comonomer acrylamide, Third monomer methacrylic acid and water are mixed, 55-75 is warming up to o Then C is successively added dropwise to chain-transferring agent aqueous solution, reducing agent aqueous solution and aqueous oxidizing agent solution, rear clock reaction 1-6h is added dropwise, washing, takes off single, filtering, dry to get polymer powder.The present invention is polymerize using aqueous deposited polymerization method, and polymerization reaction heat is easy to exclude, and polymerization temperature is easy to control, and the relative molecular mass of polymer and distribution are than more uniform；Polyacrylonitrile copolymer prepared by the present invention can be effectively improved it in the thermostabilization performance of pre-oxidizing stage, there is certain actual application prospect.",长春工业大学,UNIV CHANGCHUN TECHNOLOGY,ZHANG HUIXUAN; LI BING; FU ZHONGYU; LIU YUYAO,D01F9/225; C08F220/48; C08F4/40,https://patents.google.com/patent/CN108840974A/en,patent,19
CN-108940285-A,CN-201810804162-A,CN,A,64497956,20181207,2018,A kind of preparation method and application of flexibility electrolysis water catalysis material,"The invention discloses a kind of preparation method and applications of flexible electrolysis water catalysis material, belong to water electrolysis hydrogen production technical field.The preparation method includes: that (1) prepares the Prussian blue similar object nanoparticle of cobalt-based；(2) it disperses the Prussian blue similar object nanoparticle of cobalt-based in organic solvent, adds polyacrylonitrile and spinning solution is made, Co-PBA/PAN composite nano-fiber membrane is made in electrostatic spinning；(3) pre-oxidation treatment is carried out to Co-PBA/PAN composite nano-fiber membrane, then carries out carbonization treatment in an inert atmosphere, the flexible electrolysis water catalysis material is made.Cobalt carbide is dispersed in porous carbon fiber in electrolysis water catalysis material prepared by the present invention, increase catalytic site, the problem of porous carbon fiber provides the carrier of catalytic site and enhances electric conductivity, improve conventional powder catalysis material easy to fall off, easy loss simultaneously；Production method is easy, green safe, it can be achieved that large area continuous production.",嘉兴学院,UNIV JIAXING,LIU HAIQING; LI LEI; Kuang Chunxia; ZHAI YUNYUN; WANG XIANGWEI,C25B11/043; B01J23/75; C25B1/04; B01J35/33; B01J35/58; B01J35/40,https://patents.google.com/patent/CN108940285A/en,patent,19
CN-108973882-A,CN-201810716286-A,CN,A,64536507,20181211,2018,A kind of door inner decoration board textile frame structure material,"The invention discloses a kind of door inner decoration board textile frame structure materials, by substrate skeleton, buffer fillings layer, waterproof fabrics and decorative fabric composition, the substrate skeleton is by carbon fibre material through combing, networking, hot melt is reinforced, it is made after felt is made through being molded, the carbon fibre material is by polyacrylonitrile fibre after pre-oxidation treatment, it is made after carbonization treatment again, the buffer fillings layer is made of EVA foam and flexible filler, the buffer fillings layer is filled in the hole of EVA foam by flexible filler and is made, the waterproof fabrics is polyflon through premixing, it squeezes, calendering, biaxial tension is made, the waterproof fabrics is wrapped in the outside of buffer fillings layer, the decorative fabric is wrapped in the outside of substrate skeleton and waterproof fabrics, it is soft, comfortable feel, it will not volatilize during use Formaldehyde out avoids the pollution to environment, is conducive to the health of interior driver and passenger.",来安县劲松车辆零部件有限公司,LAIAN JINSONG VEHICLE PARTS CO LTD,Xuan baiyun; WANG GUIHONG; RUAN ZHIJIAN,B32B3/04; B32B9/046; B32B27/12; B32B5/02; B32B5/18; B32B27/322; B60R13/0243; B32B27/20,https://patents.google.com/patent/CN108973882A/en,patent,19
CN-109004205-A,CN-201810889071-A,CN,A,64595961,20181214,2018,A kind of preparation method of lithium sulfur battery anode material,"The present invention is a kind of preparation method of lithium sulfur battery anode material.This method utilizes N, dinethylformamide (DMF) is used as solvent, a certain proportion of polyacrylonitrile (PAN)/graphene oxide (GO) in situ is dissolved in preparation spinning precursor liquid in DMF, continuous nano-fibre film is prepared using electrostatic spinning process, carbonization treatment is carried out to electrostatic spinning PAN/GO fiber and prepares situ Nitrogen Doping carbon fiber/redox graphene composite material, it finally carries out mixing sulphur technique and prepares nitrogen-doped carbon fiber/redox graphene/sulphur composite positive pole, this composite material with excellent electric conductivity and the adsorption capacity to polysulfide, the shortcomings that poorly conductive of elemental sulfur can not only be made up, simultaneously can play sulfur fixation, improve the shuttle effect of polysulfide during the reaction, to improve the chemical property of lithium-sulfur cell.",河北工业大学; 河源广工大协同创新研究院,UNIV HEBEI TECHNOLOGY; SYNERGY INNOVATION INST OF GDUT HEYUAN,ZHANG YONGGUANG; HE YUSEN,H01M4/48; H01M4/602; H01M4/38; H01M4/364,https://patents.google.com/patent/CN109004205A/en,patent,19
JP-2018090921-A,JP-2016233899-A,JP,A,62564630,20180614,2018,Method for producing carbon fiber,"PROBLEM TO BE SOLVED: To provide a carbon fiber having high physical properties and high quality capable of suppressing a dual structure appearing in a cross section of the carbon fiber even when a single fiber fineness is large or under a high temperature condition.SOLUTION: A method for producing a carbon fiber prepares a carbon fiber precursor fiber from a polyacrylonitrile-based copolymer obtained by copolymerizing a monomer composition comprising a vinyl monomer containing acrylonitrile, a prescribed quantity of a prescribed vinyl monomer and a carboxy group or an amide group, then carries out flame-proofing and carbonization. In the method for producing the carbon fiber, a ratio between an area of an outer layer part in a dual structure in a cross section perpendicular to a longitudinal direction of the carbon fiber and an area of the cross section of the carbon fiber is within a prescribed range.SELECTED DRAWING: None",東レ株式会社; Toray Ind Inc,TORAY INDUSTRIES,TSUZUKI MASAHIRO; KOJIMA YUJI; TANAKA FUMIHIKO,,https://patents.google.com/patent/JP2018090921A/en,patent,19
JP-2018138628-A,JP-2017033024-A,JP,A,63451022,20180906,2018,"Polyacrylonitrile-based copolymer, carbon fiber precursor fiber, flame-resistant fiber bundle production method, and carbon fiber bundle production method","PROBLEM TO BE SOLVED: To provide carbon fiber precursor fiber with a high carbonization yield, a polyacrylonitrile-based copolymer suitable as the carbon fiber precursor fiber, a method of producing a high-quality carbon fiber bundle with a high carbonization yield and good productivity, and a method of producing a flame-resistant fiber bundle suitable for production of the carbon fiber bundle.SOLUTION: A polyacrylonitrile-based copolymer comprises: 1 to 30 mass% of a structural unit (A) represented by the specified general formula (1); 1 to 5 mass% of a structural unit (B) derived from a (meth)acrylamide-based monomer; 0.1 to 2 mass% of a structural unit (C) derived from a (meth)acrylic acid-based monomer; and 63 to 97.9 mass% of a structural unit (D) represented by the specified general formula (2).SELECTED DRAWING: None",三菱ケミカル株式会社; Mitsubishi Chemical Holdings Corp,MITSUBISHI CHEM CORP,HAREYAMA KAZUNAO; YAMATANI MANABU; YAMASHITA TOMOYOSHI,,https://patents.google.com/patent/JP2018138628A/en,patent,19
KR-20180083012-A,KR-20170004052-A,KR,A,63103484,20180720,2018,Precursor fiber for carbon fiber manufacturing method and precursor fiber for carbon fiber using the same,"The present invention relates to a preparation method of precursor fibers for carbon fibers, and precursor fibers for carbon fibers produced thereby. More specifically, the present invention relates to a preparation method of precursor fibers for polyacrylonitrile-based carbon fibers, in which the surface of precursor fibers is treated with an aqueous ammonia solution prior to an application of an oiling agent, such that coating of the oiling agent on the surface of the precursor fibers is promoted upon the application of the oiling agent. According to the present invention, the preparation method promotes a crosslinking reaction of a silicon oiling agent and prevents the oiling agent from separating from the surface of the precursor fibers, thereby enabling high elongation. In addition, the preparation method inhibits thread damage and bulk formation, and prevents thread damage in a spinning roller, a guide, an oxidation furnace and the like, and thus can produce carbon fibers with high production efficiency, and the produced carbon fibers achieve desirable physical properties.",주식회사 효성,HYOSUNG CORP,"JUNG, HEE ROK; BANG, YUN HYUK; CHOI, MI YOUNG; KIM, BYUNG HAN",D02J1/223; D01F9/22; D01F11/10; D01F9/32; D01D5/06; D02J1/223; D01F11/10; D01F9/32; D01F9/22; D01D5/06,https://patents.google.com/patent/KR20180083012A/en,patent,19
US-10151051-B2,US-201815898745-A,US,B2,39417158,20181211,2018,Carbon fibers having improved strength and modulus and an associated method and apparatus for preparing same,"The invention is directed to carbon fibers having high tensile strength and modulus of elasticity. The invention also provides a method and apparatus for making the carbon fibers. The method comprises advancing a precursor fiber through an oxidation oven wherein the fiber is subjected to controlled stretching in an oxidizing atmosphere in which tension loads are distributed amongst a plurality of passes through the oxidation oven, which permits higher cumulative stretches to be achieved. The method also includes subjecting the fiber to controlled stretching in two or more of the passes that is sufficient to cause the fiber to undergo one or more transitions in each of the two or more passes. The invention is also directed to an oxidation oven having a plurality of cooperating drive rolls in series that can be driven independently of each other so that the amount of stretch applied to the oven in each of the plurality of passes can be independently controlled.",Hexcel Corporation,HEXCEL CORP,"LEÓN Y LEÓN, CARLOS A.",D02J13/00; D01F9/32; F27B9/28; D02J1/228; D01F9/225; D01F9/12; C01B31/00; D01F9/22; C01B32/05; C01B32/00,https://patents.google.com/patent/US10151051B2/en,patent,19
US-2018171511-A1,US-201815898745-A,US,A1,39417158,20180621,2018,Carbon Fibers Having Improved Strength And Modulus And An Associated Method And Apparatus For Preparing Same,"The invention is directed to carbon fibers having high tensile strength and modulus of elasticity. The invention also provides a method and apparatus for making the carbon fibers. The method comprises advancing a precursor fiber through an oxidation oven wherein the fiber is subjected to controlled stretching in an oxidizing atmosphere in which tension loads are distributed amongst a plurality of passes through the oxidation oven, which permits higher cumulative stretches to be achieved. The method also includes subjecting the fiber to controlled stretching in two or more of the passes that is sufficient to cause the fiber to undergo one or more transitions in each of the two or more passes. The invention is also directed to an oxidation oven having a plurality of cooperating drive rolls in series that can be driven independently of each other so that the amount of stretch applied to the oven in each of the plurality of passes can be independently controlled.",Hexcel Corporation,HEXCEL CORP,"LEÓN Y LEÓN, CARLOS A.",C01B31/00; D01F9/22; D01F9/225; D02J1/228; D01F9/12; D01F9/12; D01F9/32; D02J13/00; F27B9/28; D01F9/225,https://patents.google.com/patent/US2018171511A1/en,patent,19
US-9873777-B2,US-201314395185-A,US,B2,49383564,20180123,2018,Carbon fiber bundle and method of producing carbon fibers,"Provided are carbon fibers which have a thicker single fiber fineness of the polyacrylonitrile-based precursor fiber bundles and lower production costs, and which have excellent mechanical properties. Also provided are: carbon fiber bundles having a single fiber fineness of 0.8-2.1 dtex, a strand strength of 4.9 GPa or greater, and a strand elastic modulus of 200 GPa or greater; carbon fiber bundles having a single fiber fineness of 0.8-2.5 dtex, a strand strength of 3.0 GPa or greater, and a strand elastic modulus of 240 GPa or greater; and an optimal method for producing said carbon fiber bundles. carbon fiber bundles having a single fiber fineness of 0.8-2.5 dtex, a strand strength of 3.0 GPa or greater, and a strand elastic modulus of 240 GPa or greater; and an optimal method for producing said carbon fiber bundles.",Mitsubishi Chemical Corporation,MITSUBISHI RAYON CO; MITSUBISHI CHEM CORP,KIRIYAMA TAKAYUKI; SUGIURA NAOKI; HATA MASAHIRO,C08K7/06; D01F6/38; D01F9/22; D01F9/22; C08K7/06; D01F9/22; D01F9/225; D01F6/38; D01F9/225; D01F9/225,https://patents.google.com/patent/US9873777B2/en,patent,19
US-9938643-B2,US-201715587627-A,US,B2,39417158,20180410,2018,Carbon fibers having improved strength and modulus and an associated method and apparatus for preparing same,"The invention is directed to carbon fibers having high tensile strength and modulus of elasticity. The invention also provides a method and apparatus for making the carbon fibers. The method comprises advancing a precursor fiber through an oxidation oven wherein the fiber is subjected to controlled stretching in an oxidizing atmosphere in which tension loads are distributed amongst a plurality of passes through the oxidation oven, which permits higher cumulative stretches to be achieved. The method also includes subjecting the fiber to controlled stretching in two or more of the passes that is sufficient to cause the fiber to undergo one or more transitions in each of the two or more passes. The invention is also directed to an oxidation oven having a plurality of cooperating drive rolls in series that can be driven independently of each other so that the amount of stretch applied to the oven in each of the plurality of passes can be independently controlled.",Hexel Corporation,HEXCEL CORP; HEXEL CORP,LEÓN Y LEÓN CARLOS A.,C01B31/00; D01F9/22; D01F9/225; D02J1/228; D01F9/12; D01F9/12; D01F9/32; D02J13/00; F27B9/28; D01F9/225,https://patents.google.com/patent/US9938643B2/en,patent,19
CN-102953152-B,CN-201110244692-A,CN,B,47762514,20170412,2017,Preparation method for polyacrylonitrile-based carbon fiber,"The invention provides a preparation method for a polyacrylonitrile-based carbon fiber. The third monomer of a protofilament spinning raw material, i.e., polyacrylonitrile resin, is itaconic acid; a spinning solution is prepared from the resin by using DMSO or DMAc, and spinning and solidification are carried out so as to prepare a nascent fiber. The nascent fiber successively undergoes the following procedures: water bath drafting in an aqueous solution of a spinning solvent; drip washing with deionized water; dipping in a buffer solution containing acid A and salt B, wherein A is sulfuric acid, hydrochloric acid or nitric acid, and B is a sodium salt or a sylvite of A; water bath drafting in pure water; dipping in an acidic aqueous solution; and hot bath rinsing with deionized water until rinsing liquid is neutral. A carbon fiber protofilament is prepared by subjecting the nascent fiber to post-processing procedures like oiling and dry densification. The protofilament undergoes pre-oxidation in an aerobic atmosphere under the condition of drafting and then undergoes carbonization in an anoxic atmosphere under the condition of drafting so as to obtain a finished product of the polyacrylonitrile-based carbon fiber.",中国石油化工股份有限公司; 中国石化上海石油化工股份有限公司,,,,https://patents.google.com/patent/CN102953152B/en,patent,19
CN-104392847-B,CN-201410491047-A,CN,B,52610730,20170222,2017,Preparation method of morphology controllable metal oxide/active carbon fiber combination electrode material,"The invention discloses a preparation method of a morphology controllable metal oxide/active carbon fiber combination electrode material, and relates to a preparation method of a combination electrode material, for solving the problem that the specific capacitance value of a composite material cannot be improved through changing morphology by use of a conventional metal oxide/active carbon fiber combination electrode material. The method comprises the following steps: taking polyacrylonitrile and nitrate with different mass ratios as raw materials, preparing metal iron-doped polyacrylonitrile fibers by use of electrostatic spinning, and preparing metal oxide/polyacrylonitrile-based active carbon fibers through pre-oxidation and carbonization. According to the invention, spinning is carried out by adding the nitrate, the nitrate forms the tadpole-like short fibers after being stretched, the morphology is continued through a pre-oxidation and carbonization process, the fibers are wound on the surfaces of the active carbon fibers or scattered among the active carbon fibers, the specific surface area of the active carbon fibers is increased, the surface utilization rate is enhanced, and the prepared active carbon fibers have quite high specific capacitance. The method provided by the invention is applied to preparation of metal oxide/active carbon fiber combination electrode materials with different morphologies.",黑龙江大学,,,,https://patents.google.com/patent/CN104392847B/en,patent,19
CN-104593902-B,CN-201510081761-A,CN,B,53119945,20170104,2017,A kind of preparation method of carbon fiber precursor polyacrylonitrile/lignin fibre,"The invention provides the preparation method of a kind of carbon fiber precursor polyacrylonitrile/lignin fibre, it is characterized in that, including: the first step: obtain polyacrylonitrile master batch through double screw extruder pelletize at 180～250 DEG C after being mixed with plasticizer by dried polyacrylonitrile；Second step: with the polyacrylonitrile master batch of gained as cortex, with lignin as sandwich layer, obtain the polyacrylonitrile/lignin fibre with skin-core structure through apparatus for melt spinning spinning；3rd step: the heated case of polyacrylonitrile/lignin fibre with skin-core structure is carried out drawing-off, obtains carbon fiber precursor polyacrylonitrile/lignin fibre.The carbon fiber precursor that the present invention provides has good spinnability, and production cost is low, can carry out the advantages such as continuous prodution, be expected to further carbonization and obtain lower-cost carbon fiber, be applied to carbon fibre reinforced composite field, wide market.",东华大学,,,,https://patents.google.com/patent/CN104593902B/en,patent,19
CN-104651980-B,CN-201510117207-A,CN,B,53243601,20170901,2017,Prepare the method for pre-oxidizing of high-strength middle model carbon fiber,"The present invention relates to organic polymer field, specifically a kind of method for pre-oxidizing for preparing high-strength middle model carbon fiber comprises the following steps：By polyacrylonitrile copolymer fibre tow in air atmosphere in being pre-oxidized in 180~280 DEG C of temperature ranges, 80~120min is heat-treated using 6 sections of gradient increased temperature modes, the thermograde for controlling the 5th section and the 6th section is 14 ± 2 DEG C, it is 1.34 ± 0.02g/cm that density, which is made, 3 Pre-oxidized fibers；Pass through conventional silicon carbide condition again：Nitrogen protection under, under 0~4% draw ratio, in 3 ± 1.5min of low-temperature carbonization at 300~900 DEG C, by gained fiber at 1000~1800 DEG C 3 ± 1.5min of high temperature cabonization, draw ratio be 4~0%.The present invention avoids pre-oxidation excessively or pre-oxidation is not enough, cyclization and oxidation reaction of the rational control fiber in preoxidation process, are prevented effectively from the generation of skin-core structure, the perfect pre-oxidized fibers of preparation structure, its mechanical property is improved, so as to prepare high-strength middle model carbon fiber.",威海拓展纤维有限公司,,,,https://patents.google.com/patent/CN104651980B/en,patent,19
CN-106367850-A,CN-201610095629-A,CN,A,57880572,20170201,2017,Continuous production system of polyacrylonitrile-based carbon fibers,"The invention discloses a continuous production system of polyacrylonitrile-based carbon fibers, and belongs to the technical field of carbon fiber production. The continuous production system of polyacrylonitrile-based carbon fibers comprises a heat reactor used for carrying out a pre-oxidation reaction and a carbonization reaction on polyacrylonitrile fibers, fiber drawing mechanisms arranged at two ends of the heat reactor and a matching control system, and the heat reactor comprises a reaction chamber formed by connecting a plurality of tube bodies with the front end surfaces and the rear end surfaces respectively contracting to form inlets and outlets. The system has the advantages of realization of automatic and continuous production of the carbon fibers, good product quality, environmental protection and energy saving.",河北陆元新材料科技有限公司,HEBEI LUYUAN NEW MAT TECH CO LTD,CHEN XINMOU; CHEN GANG,D01F9/22; D01F9/328,https://patents.google.com/patent/CN106367850A/en,patent,19
CN-106450253-A,CN-201610938028-A,CN,A,58177821,20170222,2017,Method for preparing high-performance ZnO/asphalt carbon/carbon fiber composite material for lithium-ion-battery negative electrode,"The invention belongs to the field of energy and chemical industry and carbon nanometer material crossing, and relates to a method for preparing a high-performance ZnO/asphalt carbon/carbon fiber composite material for a lithium-ion-battery negative electrode. The method includes the steps that mixed fibers of zinc acetate and polyacrylonitrile are prepared through electrostatic spinning, a fiber material is modified by dropwise adding petroleum asphalt rich in arene, and preoxidation and carbonization are carried out, and the ZnO/asphalt carbon/carbon fiber composite material is prepared. The ZnO/asphalt carbon/carbon fiber composite material has the high specific capacitance of metal oxide, the high conductivity of carbon fibers and coating and connecting functions of asphalt carbon, has the excellent performance of being high in specific capacitance, good in cycling stability and the like when being used as the lithium-ion-secondary-battery negative electrode material, and is a novel quite-potential high-performance lithium-ion-battery negative electrode. The method has the advantages that the advantages of ZnO, the carbon fibers and asphalt carbon are coupled, and the ZnO/asphalt carbon/carbon fiber composite material with the excellent electrochemical performance is built. Asphalt is low in cost and easy to obtain, the preparing method is simple, and a novel way is hopefully developed for high-value-added environment-friendly applications of petroleum asphalt.",中国石油大学(华东),UNIV CHINA PETROLEUM,WU MINGBO; XIE HUI; LIU JIALIANG; RAO YUAN; ZHAO QINGSHAN; NING HUI; LI ZHONGTAO; WU WENTING,H01M10/0525; H01M4/583; H01M4/483; H01M4/362; H01M4/139,https://patents.google.com/patent/CN106450253A/en,patent,19
CN-106544758-A,CN-201610921061-A,CN,A,58392283,20170329,2017,A kind of preparation method of high modulus pitch-based carbon fiber,"The present invention relates to a kind of preparation method of high modulus pitch-based carbon fiber, comprises the following steps：(1) with catalytic slurry as raw material high-pressure hydrogenation pretreatment, Hydrogen Vapor Pressure is 12～18MPa, and reaction temperature is 420～450 DEG C, reacts 1～3h, obtains hydrogenation products；(2) &gt;=400 DEG C of fractions, noble gases or nitrogen atmosphere are isolated in vacuum distillation, and 460～500 DEG C of reaction temperature is reacted 6～8h, obtains a polycondensation product；(3) nitrogen is passed through under normal pressure, 5～8L/ of nitrogen flow rate (skg), 450～500 DEG C of reaction temperature react 4～6h, obtain the mesophase pitch of high-quality；(4) the mesophase pitch melt spinning for obtaining upper step, Jing pre-oxidation, carbonization, graphitization, obtains high modulus carbon fiber.",中国石油大学(华东); 广饶县康斯唯绅新材料有限公司,UNIV CHINA PETROLEUM; GUANGRAO COUNTY KANGSI WEISHEN NEW MAT CO LTD,LIU DONG; CHEN YANFENG; YANG YUANXI; WU ZHONGHUA; GUO AIJUN; YIN CHANGLONG; CHEN KUN; XIA WEI; WU PINGPING; ZHANG YADONG; LI MIN; Chen qingtai; YE JIASHUN; MA WENQIAN; SONG XIANNI; WANG HAO; DING RUONAN; HUANG KE,C10C3/10; C10C3/02; C10G67/02; D01F9/145; C10C3/00,https://patents.google.com/patent/CN106544758A/en,patent,19
CN-106571450-A,CN-201610934426-A,CN,A,58533716,20170419,2017,Method used for preparing multilayer flexible polyacrylonitrile/bitumen carbon fiber composite material used for lithium ion battery negative electrodes via electrostatic spinning,"The invention belongs to the crossing field of petrochemical engineering and carbon nano, and relates to a method used for preparing a multilayer flexible polyacrylonitrile/bitumen carbon fiber composite material used for lithium ion battery negative electrodes via electrostatic spinning. The method comprises following steps: firstly, electrostatic spinning is adopted to prepare polyacrylonitrile fiber, a mixed solution of deoiled bitumen and polyvinylpyrrolidone is subjected to electrostatic spinning so as to prepare a blend fiber which is collected on the polyacrylonitrile fiber, the former steps are repeated so as to obtain a polyacrylonitrile/bitumen composite fiber material with a multilayer structure, and pre-oxidation and carbonization are carried out so as to obtain the multilayer flexible polyacrylonitrile/bitumen carbon fiber composite material. According to the method, polyvinylpyrrolidone is capable of improving the spinnability of the deoiled bitumen solution, the polyacrylonitrile fiber is capable of supporting molten deoiled bitumen in heat processing process, so that the composite carbon material with excellent flexibility is prepared, and when the multilayer flexible polyacrylonitrile/bitumen carbon fiber composite material is taken as a lithium ion secondary battery negative electrode material, excellent performance such as high specific capacitance and excellent cycling stability is achieved. The major characteristics of the method are that: deoiled bitumen and polyvinylpyrrolidone are used for preparing the blend fiber via electrostatic spinning, and the multilayer flexible polyacrylonitrile/bitumen carbon fiber composite material is prepared based on the supporting effect of polyacrylonitrile fiber.",中国石油大学(华东),UNIV CHINA PETROLEUM,WU MINGBO; XIE HUI; LIU JIALIANG; RAO YUAN; ZHAO QINGSHAN; NING HUI; LI ZHONGTAO; WU WENTING,H01M10/0525; D01F9/22; H01M4/587; H01M4/366,https://patents.google.com/patent/CN106571450A/en,patent,19
CN-106621565-A,CN-201611073863-A,CN,A,58814076,20170510,2017,Polybasic ion antibacterial carbon fiber filter element,"The invention relates to the field of water purifying materials and discloses a polybasic ion antibacterial carbon fiber filter element. A preparation method of the polybasic ion antibacterial carbon fiber filter element comprises the steps: (A) mixing cerium oxide powder, feldspar powder, ferroferric oxide and polyvinyl chloride or polypropylene and adding edible vegetable oil; pelleting to obtain master batch A; adding a polybasic ion antibacterial material and pelleting to obtain polybasic ion macromolecular antibacterial master batch; (B) preparing a polyacrylonitrile copolymer; (C) preparing polyacrylonitrile fiber; (D) performing pre-oxidation and carbonization treatment on the polyacrylonitrile fiber to form carbon fiber; (E) preparing the filter element. The filter element provided by the invention contains the polybasic ion antibacterial material which has high stability, high antibacterial activity and adsorbing capability, can effectively improve the antibacterial property of the macromolecular material and prolong the service life of the macromolecular material, and avoids the problems that the traditional macromolecular antibacterial material has low antibacterial property, hydrolysis resistance and oxidation resistance, does not resist acid and alkali, has short service life and high temperature dependency and the like.",浙江水马环保科技有限公司,ZHEJIANG WATERHOR ENV PROT TECH CO LTD,LI MING; SUN YUEPING,D01F1/103; B01D39/14; D01F9/225,https://patents.google.com/patent/CN106621565A/en,patent,19
